154                                          Journal officiel des Communautés européennes                                   31. 12. 83

| Titre | Date<br>d'adoption | Publication |
| :--- | :--- | :--- |
| Étude de la situation du Centre européen pour le développement de<br>la formation professionnelle (Berlin) | 5 mars 1981 | Non publié |
| Étude de la situation de la Fondation européenne pour l'amélio-<br>ration des conditions de vie et de travail (Dublin) | 5 mars 1981 | Non publié |
| Rapport relatif aux comptes des Écoles européennes pour l'exercice<br>1979 | 9 avril 1981 | Non publié |
| Rapport relatif aux comptes de 1980 de l'Agence d'approvisionne-<br>ment Euratom | 30 avril 1981 | Non publié |
| Rapport relatif aux états financiers du JET pour l'exercice 1980 | 30 avril 1981 | Non publié |
| Avis sur une proposition de règlement financier concernant l'appli-<br>cation des dispositions de l'accord, sous forme d'échange de lettres<br>entre la Communauté économique européenne et la République por-<br>tugaise, relatif à la mise en œuvre d'une aide préadhésion en faveur<br>du Portugal | 14 mai 1981 | JO n° C 156<br>du 25. 6. 1981,<br>p. 10 |
| Observations de la Cour des comptes sur la gestion de la CECA<br>pour 1979 | 21 mai 1981 | Non publié |
| Avis sur une proposition de règlement du Conseil portant modifica-<br>tion du règlement financier du 21 décembre 1977, applicable au bud-<br>get général des Communautés européennes | 21 mai 1981 | JO n° C 232<br>du 11. 9. 1981 |
| Rapport concernant le Réseau d'information comptable agricole<br>(RICA) de la Communauté économique européenne | 18 juin 1981 | Disponible<br>auprès de<br>la Cour |
| Rapport spécial relatif aux cautions, cautionnements et garanties<br>constitués à l'occasion d'opérations se traduisant par des dépenses<br>du Fonds européen d'orientation et de garantie agricole (FEOGA),<br>section «garantie» | 18 juin 1981 | JO n° C 249<br>du 29. 9. 1981 |
| Rapport sur les états financiers au 31 décembre 1980 de la CECA | 26 juin 1981 | Non publié |
| Rapport relatif aux comptes de l'exercice 1980 de la Fondation euro-<br>péenne pour l'amélioration des conditions de vie et de travail (à Du-<br>blin) | 26 juin 1981 | Non publié |
| Rapport relatif aux comptes de l'exercice 1980 du Centre européen<br>pour le développement de la formation professionnelle (à Berlin) | 26 juin 1981 | Non publié |
| Avis sur une proposition de règlement (CEE) du Conseil relatif à la<br>compensation de la contribution grecque aux charges financières dé-<br>coulant du mécanisme financier et des mesures supplémentaires en<br>faveur du Royaume-Uni | 10 septembre 1981 | JO n° C 282<br>du 5. 11. 1981,<br>p. 15 |
| 4e Rapport annuel relatif à l'exercice 1980 | 26 novembre 1981 | JO n° C 344<br>du 31. 12. 1981 |
