[[HEADER]]Journal officiel des Communautés européennes[[/HEADER]]

| Titre | Date d'adoption | Publication |
|-------|------------------|------------|
| Étude de la situation du Centre européen pour le développement de la formation professionnelle (Berlin) | 5 mars 1981 | Non publié |
| Étude de la situation de la Fondation européenne pour l'amélioration des conditions de vie et de travail (Dublin) | 5 mars 1981 | Non publié |
| Rapport relatif aux comptes des Écoles européennes pour l'exercice 1979 | 9 avril 1981 | Non publié |
| Rapport relatif aux comptes de 1980 de l'Agence d'approvisionnement Euratom | 30 avril 1981 | Non publié |
| Rapport relatif aux états financiers du JET pour l'exercice 1980 | 30 avril 1981 | Non publié |
| Avis sur une proposition de règlement financier concernant l'application des dispositions de l'accord, sous forme d'échange de lettres entre la Communauté économique européenne et la République portugaise, relatif à la mise en œuvre d'une aide préadhésion en faveur du Portugal | 14 mai 1981 | JO n° C 156 du 25.6.1981, p. 10 |
| Observations de la Cour des comptes sur la gestion de la CECA pour 1979 | 21 mai 1981 | Non publié |
| Avis sur une proposition de règlement du Conseil portant modification du règlement financier du 21 décembre 1977, applicable au budget général des Communautés européennes | 21 mai 1981 | JO n° C 232 du 11.9.1981 |
| Rapport concernant le Réseau d'information comptable agricole (RICA) de la Communauté économique européenne | 18 juin 1981 | Disponible auprès de la Cour |
| Rapport spécial relatif aux cautions, cautionnements et garanties constitués à l'occasion d'opérations se traduisant par des dépenses du Fonds européen d'orientation et de garantie agricole (FEOGA), section «garantie» | 18 juin 1981 | JO n° C 249 du 29.9.1981 |
| Rapport sur les états financiers au 31 décembre 1980 de la CECA | 26 juin 1981 | Non publié |
| Rapport relatif aux comptes de l'exercice 1980 de la Fondation européenne pour l'amélioration des conditions de vie et de travail (à Dublin) | 26 juin 1981 | Non publié |
| Rapport relatif aux comptes de l'exercice 1980 du Centre européen pour le développement de la formation professionnelle (à Berlin) | 26 juin 1981 | Non publié |
| Avis sur une proposition de règlement (CEE) du Conseil relatif à la compensation de la contribution grecque aux charges financières découlant du mécanisme financier et des mesures supplémentaires en faveur du Royaume-Uni | 10 septembre 1981 | JO n° C 282 du 5.11.1981, p. 15 |
| 4<sup>e</sup> Rapport annuel relatif à l'exercice 1980 | 26 novembre 1981 | JO n° C 344 du 31.12.1981 |

[[FOOTER]]154 31.12.83[[/FOOTER]]
