doc_id,gt_chars,ocr_chars,cer,wer,code_chars,code_cer,code_wer,cer_improvement,wer_improvement
BAC-0066-1985-0151_0389,1856,1852,0.0022,0.0034,1860,0.007,0.0338,0.0048,0.0304
BAC-0101-1999-0267_0112,3286,3295,0.007,0.0305,3292,0.0052,0.0229,-0.0018,-0.0076
BAC-0101-1999-0450_0073,2908,2906,0.0038,0.0108,2070,0.5915,0.7931,0.5877,0.7823
BAC-0101-1999-0541_0199,591,551,0.0812,0.1477,575,0.5025,0.7955,0.4213,0.6478
BAC-0101-1999-1098_0368,4533,4491,0.0203,0.113,4531,0.7317,0.8378,0.7114,0.7248
BAC-0119-2017-0037_0021,917,882,0.0611,0.1154,1237,0.6619,1.1603,0.6008,1.0449
BAC-0130-1983-0248_0184,2156,2125,0.0195,0.0833,2162,0.013,0.0714,-0.0065,-0.0119
BAC-0131-1983-0255_0033,758,756,0.0132,0.0531,767,0.0462,0.177,0.033,0.1239
BAC-0131-1983-0261_0030,8,46,5.625,3.0,5,0.875,1.5,-4.75,-1.5
BAC-0147-1991-0264_0475,2200,2194,0.0059,0.0243,2193,0.0305,0.1307,0.0246,0.1064
BAC-0154-1980-0010_0036,2436,2395,0.0168,0.0132,2407,0.0296,0.0635,0.0128,0.0503
BAC-0214-1980-0194_0112,1241,1231,0.0886,0.1192,1214,0.2031,0.4249,0.1145,0.3057
BAC-0214-1980-0198_0209,1270,1242,0.026,0.1111,1229,0.0772,0.2172,0.0512,0.1061
BAC-0214-1980-0322_0092,1272,1260,0.0204,0.1084,1280,0.0503,0.253,0.0299,0.1446
BAC-0250-1980-1068_0223,1783,1748,0.051,0.0714,1785,0.0628,0.15,0.0118,0.0786
BAC-0250-1980-1210_0081,373,372,0.1421,0.1964,384,0.0509,0.1786,-0.0912,-0.0178
BAC-0255-1995-0046_0058,1825,1818,0.0038,0.0158,1920,0.0608,0.443,0.057,0.4272
INV-0006-2021-0006_0022,1845,1813,0.0173,0.0651,1828,0.0195,0.0684,0.0022,0.0033
INV-0007-2020-0027_0037,2095,2072,0.0115,0.0702,2093,0.0205,0.0994,0.009,0.0292
INV-0007-2021-0135_0008,1174,1164,0.0213,0.0576,1179,0.0153,0.0838,-0.006,0.0262
INV-0009-2021-0299_0084,704,687,0.1463,0.233,644,0.2301,0.4078,0.0838,0.1748
INV-0010-2019-0870_0002,958,936,0.023,0.0299,986,0.0626,0.1018,0.0396,0.0719
INV-0011-2021-0008_0223,2331,2323,0.0051,0.0309,2337,0.0257,0.1292,0.0206,0.0983
INV-0011-2021-0686_0050,1847,1789,0.0493,0.075,1843,0.1689,0.4786,0.1196,0.4036
INV-0011-2021-0693_0310,2249,2252,0.02,0.0781,2266,0.0227,0.125,0.0027,0.0469
INV-0011-2021-0723_0481,2042,1887,0.121,0.2044,2052,0.093,0.1387,-0.028,-0.0657
INV-0013-2019-0297_0115,642,592,0.081,0.1471,679,0.3209,0.6765,0.2399,0.5294
INV-0013-2019-0909_0024,1656,1659,0.0145,0.022,1717,0.0483,0.1233,0.0338,0.1013
INV-0015-2019-0852_0437,3185,8,0.9984,1.0,3174,0.0057,0.0209,-0.9927,-0.9791
INV-0017-2020-0077_0031,1455,1454,0.0021,0.0133,1552,0.0976,0.2876,0.0955,0.2743
INV-0020-2019-0023_0190,2268,2196,0.0335,0.0085,2200,0.0428,0.0538,0.0093,0.0453
INV-0020-2024-0022_0229,2324,2294,0.0142,0.0732,2376,0.0426,0.1268,0.0284,0.0536
INV-0020-2024-0045_0113,3251,3232,0.0148,0.0776,3361,0.0914,0.2931,0.0766,0.2155
INV-0021-2019-0123_0020,2075,2045,0.0554,0.0966,2021,0.0689,0.1277,0.0135,0.0311
