```markdown
0010

UNEPCONF. 1/INF.2
Page 7

| SPAIN | +++ | D. Alfonso ENSEMAT |
| --- | --- | --- |
| ESPAGNE |  | Subdirector General de Estudios de la |
| ESPAÑA |  | Contaminación Industrial |
|  | +++ | D. BENJAMIN SANCHEZ |
|  |  | Subdirector General de |
|  |  | Medicina Preventiva y Sanidad Ambiental |
|  | +++ | D. Joaquín ROS |
|  |  | Director del Laboratorio Oceanográfico |
|  |  | del Mar Menor |
|  |  | Instituto Español de Oceanografía |
|  | +++ | D. Juan A. YAÑEZ-BARNUEVO |
|  |  | Asesor Jurídico internacional |
|  |  | Ministerio de Asuntos Exteriores |
|  | +++ | D. Julio FERNANDEZ |
|  |  | Secretario de Embajada |
|  |  | Dirección General de Organizaciones y |
|  |  | Conferencias internacionales |
|  |  | Ministerio de Asuntos Exteriores |
|  | +++ | D. Jesús HADDAD |
|  |  | Comisión Interministerial del Medio Ambiente |
|  | +++ | D. Joaquín CABALLERO |
|  |  | Secretario General Adjunto de la CIMA |
|  | +++ | D. Fernando BARRIENTOS |
|  |  | Asesor Técnico de la CIMA |
|  | +++ | D. Pedro de MIGUEL |
|  |  | CIMA |
|  | +++ | D. Felipe RUZA |
|  |  | Jefe Servicio Planificación CIMA |
|  | +++ | D. Pedro ALVAREZ DE TOLEDO |
|  |  | Subsecretaria de la Marina Mercante |
```
