doc_id,num_pages,qwen_cer,pdf_ocr_cer,improvement,inference_time_sec,error
BAC-0020-1973-0401_0258,1,1.0000,,,0.00,
BAC-0040-1980-0062_0334,1,1.0000,,,0.00,
BAC-0066-1985-0022_0251,1,1.0000,,,0.00,
BAC-0066-1985-0150_0168,1,1.0000,,,0.00,
BAC-0101-1999-0232_0084,1,1.0000,,,0.00,
BAC-0101-1999-0906_0066,1,1.0000,,,0.00,
BAC-0128-1983-0381_0212,1,1.0000,,,0.00,
BAC-0214-1980-0030_0174,1,1.0000,,,0.00,
BAC-0250-1980-0081_0024,1,1.0000,,,0.00,
BAC-0250-1980-0555_0010,1,1.0000,,,0.00,
BAC-0250-1980-1218_0004,1,1.0000,,,0.00,
BAC-0371-1991-2275_0045,1,1.0000,,,0.00,
BAC-0371-1991-2419_0492,1,1.0000,,,0.00,
BAC-0371-1991-3026_0574,1,1.0000,,,0.00,
BAC-0371-1991-3445_0099,1,1.0000,,,0.00,
BAC-0565-1995-0080_0019,1,1.0000,,,0.00,
INV-0003-2018-0928_0235,1,1.0000,,,0.00,
INV-0006-2019-0052_0177,1,1.0000,,,0.00,
INV-0006-2019-0521_0039,1,1.0000,,,0.00,
INV-0006-2020-0098_0210,1,1.0000,,,0.00,
INV-0006-2023-1283_0302,1,1.0000,,,0.00,
INV-0012-2021-0057-0001_0222,1,1.0000,,,0.00,
INV-0012-2021-0622-0001_0096,1,1.0000,,,0.00,
INV-0012-2021-1192-0001_0013,1,1.0000,,,0.00,
INV-0013-2019-0159_0020,1,1.0000,,,0.00,
INV-0013-2019-0172_0082,1,1.0000,,,0.00,
INV-0013-2019-0230_0204,1,1.0000,,,0.00,
INV-0013-2019-0926_0047,1,1.0000,,,0.00,
INV-0013-2019-0998_0187,1,1.0000,,,0.00,
INV-0014-2020-0267_0018,1,1.0000,,,0.00,
INV-0022-2019-0107_0233,1,1.0000,,,0.00,
